Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
DFD-0001,DXF-0000-00-DFD,Double Flood Door DXF Pack,,10,1,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M10-0001,M10x100 Thunderbolt - BZP,,20,24,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M6-0023,M6x10 CSK Bolt - A2,,30,8,,Each,0,FALSE,FALSE
DFD-0001,PP-DF-0015,LCN 4040XP Door Closer - Universal,,40,2,,Each,0,FALSE,FALSE
DFD-0001,PP-DF-0001-1,HD Bullet Hinge - Top,,50,6,,Each,0,FALSE,FALSE
DFD-0001,SEAL-0031,38x35mm Black Closed Cell A320 Neoprene/EPDM,,60,6.088,,Metres,0,FALSE,FALSE
DFD-0001,PP-SL216,S McGill 2-Point Lock,,70,1,,Each,0,FALSE,FALSE
DFD-0001,FD-0026-FP,Hinge Shroud C5 - 6 mm,,80,6,,Each,0,FALSE,FALSE
DFD-0001,PP-DF-0001-2,HD Bullet Hinge - Bottom,,90,6,,Each,0,FALSE,FALSE
DFD-0001,PP-DF-0001-3,HD Bullet Hinge - Washer 22(OD)mm x 2 mm,,100,6,,Each,0,FALSE,FALSE
DFD-0001,FG-0104-FP,Earthing Lug - 50 mm x 50 mm x 10 mm,,120,5,,Each,0,FALSE,FALSE
DFD-0001,FD-0008-MP,Spring Collar - 30(OD)/17x10,,130,1,,Each,0,FALSE,FALSE
DFD-0001,PP-DF-0010,Compression Spring - S/S - 2.03x150FLx16.5IDx19.5TC,,140,1,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M8-0003,M8x50 CSK Bolt - A2,,150,2,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M8-0002,M8x30 Button Head Bolt - A2,,160,8,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M8-0006,M8 Washer - A2,,170,26,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M6-0011,M6x16 CSK Bolt - A2,,180,12,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M4-0001,M4x16 Button Head Bolt - A2,,190,1,,Each,0,FALSE,FALSE
DFD-0001,PP-DF-0063,Pull Handle - S/S - 14(OD) x 225mm,,200,2,,Each,0,FALSE,FALSE
DFD-0001,FD-0011-FP,Rose for Pull Handle - S/S - 14(OD) x 225mm,,210,4,,Each,0,FALSE,FALSE
DFD-0001,RAW-RHS-0002,RHS - 50x30x3mm - S235,,220,7.009,,Metres,0,FALSE,FALSE
DFD-0001,RAW-SHS-0001,SHS - 50x50x3mm - S235,,230,15.298,,Metres,0,FALSE,FALSE
DFD-0001,FD-0037-FP,Lock Fixing Plate Rear - 5mm,,240,1,,Each,0,FALSE,FALSE
DFD-0001,FD-0040-FP,Lock Fixing Plate Front - 5mm,,250,1,,Each,0,FALSE,FALSE
DFD-0001,FD-0015-FP,Security Door Clylinder Guard Tube,,260,1,,Each,0,FALSE,FALSE
DFD-0001,RAW-CHS-0002,CHS - 26.9(OD)x2mm - S235,,270,0.044,,Metres,0,FALSE,FALSE
DFD-0001,RAW-SFP-0001,P Frame - 3mm - S275 Zintec,,280,6.47,,Metres,0,FALSE,FALSE
DFD-0001,RAW-SFP-0002,P Frame Closer - 3mm - S275 Zintec,,290,6.031,,Metres,0,FALSE,FALSE
DFD-0001,FD-0005-FP,P Frame Cap - 3 mm,,300,2,,Each,0,FALSE,FALSE
DFD-0001,FD-0009-FP,P Frame Corner Closer - 3 mm,,310,2,,Each,0,FALSE,FALSE
DFD-0001,FD-0003-FP,Trip Plate - 4 mm,,320,2,,Each,0,FALSE,FALSE
DFD-0001,FD-0041-FP,Universal Door Closer Bracket Fire - 5 mm,,330,2,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M6-0004,M6 Washer - A2,,340,44,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M6-0001,M6x16 Button Head Bolt - A2,,350,44,,Each,0,FALSE,FALSE
DFD-0001,PP-FIX-M12-0004,M12 Hex Nut - A2,,360,2,,Each,0,FALSE,FALSE
