Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
ASSY-0000-00-DFG_Frame,RAW-UC-0001,203UC46 - S355,,10,20.75,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-RSA-0004,RSA - 100x100x10mm - S275,,20,4.077,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,FG-0108-FP,UC Support Plate - 10 mm,,30,16,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-FB-0003,FB - 50x8mm - S275,,40,5.98,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,FG-0115-FP,Double Gate Threshold Centre Stop - 20mm,,50,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M20-0007,M20 Threaded Bar - A2,,60,16,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M20-0005,M20 Hex Nut - A2,,70,16,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,FG-0106-FP,Anchor Plate - 80x80 - 10mm,,80,37,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,FG-0102-FP,M20 Lifting Eye Plate - 80x80 - 15mm,,90,3,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-RHS-0007,RHS - 200x100x8mm - S355,,100,3.878,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M16-0026,M16x50 Hex Head Bolt - BZP,,110,32,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M16-0007,M16 Hex Nut - BZP,,120,32,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M16-0004,M16 Washer - BZP,,130,64,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,FG-0104-FP,Earthing Tab - 50x50 - 10mm,,140,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M18-0001,M18x30 Hex Head Bolt - A2,,150,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-SHS-0001,SHS - 50x50x3mm - S355,,160,16.724,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,FG-0109-FP,Threshold Support Plate - 10 mm,,170,16,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,PP-FIX-M16-0011,M16x70 Hex Socket Cap Head Bolt - BZP,,180,92,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-FB-0007,FB - 200x10mm - SS304,,190,10.748,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-FB-0004,FB - 80x8mm - S275,,200,10.648,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Frame,RAW-FB-0002,FB - 40x10mm - SS304,,210,0.3,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,FG-0015-FP,100mm Gate Hinge Backing Plate - 15mm,,10,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,FG-0102-FP,M20 Lifting Eye Plate - 80x80 - 15mm,,20,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,FG-0112-FP,Seal Channel Capping Plate - 76x38 - 5mm,,30,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,PP-FG-0012,Pull Handle - 19 OD x 300mm,,40,6,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,PP-FG-0013,M8 Eyelet,,50,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,PP-FIX-M8-0015,M8 Hex Nut - A2,,60,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,FG-0104-FP,Earthing Tab - 50x50 - 10mm,,70,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,RAW-RSC-0002,RSC - 76x38x6.7mm - S275,,80,11.333,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,RAW-SB-0003,SB - 8mm - S235,,90,5.182,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,RAW-SEAL-0001,62x27 Closed Cell EPDM with 2mm Neoprene Skin,,100,3.25,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,FG-0059-FP,Double Gate Pivot Bracket Backing Plate - 10mm,,110,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,FG-0068-FP,Double Gate Latch Cover Locking Lug - 5mm,,120,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,RAW-SEAL-0002,62x47 Closed Cell EPDM with 2mm Neoprene Skin,,130,5.7,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,RAW-SEAL-0003,62x65x48 Closed Cell EPDM with 2mm Neoprene Skin,,140,3.25,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,PP-FIX-M8-0006,M8 Washer - A2,,150,9,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,PP-FIX-M8-0036,M8x16 Torx Button Head Bolt - A2,,160,9,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_RH,RAW-SHS-0005,SHS - 100x100x5mm - S355,,170,49.2336,,Metres,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0015-FP,100mm Gate Hinge Backing Plate - 15mm,,10,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0102-FP,M20 Lifting Eye Plate - 80x80 - 15mm,,20,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0112-FP,Seal Channel Capping Plate - 76x38 - 5mm,,30,2,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FG-0012,Pull Handle - 19 OD x 300mm,,40,6,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FG-0013,M8 Eyelet,,50,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,PP-FIX-M8-0015,M8 Hex Nut - A2,,60,1,,Each,0,FALSE,FALSE
ASSY-0000-00-DFG_Leaf_LH,FG-0104-FP,Earthing Tab - 50x50 - 10mm,,70,1,,Each,0,FALSE,FALSE
