StockCode,AggregateDays,WOBatchMinQty,WOBatchMaxQty,CanCancelWO,CanCancelPO,MRPReplenishmentRulesTypeID,MRPReplenishmentMultipleValue,Linked,UseDemandWarehouse,UseWOCompletionWarehouse,ApplyReorderLevelAfterMaximum,ReplenishmentHorizonDays,BuiltBoughtDefaultMake,BulkIssue,BomItemType,DefaultWOWarehouse,ScrapPercent,CostHeadingName
DFD-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDC5-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDC5F-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDDA-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDDAC5-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDDAC5F-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDDAF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDDAS-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFDS-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFD-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDC5-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDC5F-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDDA-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDDAC5-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDDAC5F-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDDAF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDDAS-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFDS-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
