StockCode,AggregateDays,WOBatchMinQty,WOBatchMaxQty,CanCancelWO,CanCancelPO,MRPReplenishmentRulesTypeID,MRPReplenishmentMultipleValue,Linked,UseDemandWarehouse,UseWOCompletionWarehouse,ApplyReorderLevelAfterMaximum,ReplenishmentHorizonDays,BuiltBoughtDefaultMake,BulkIssue,BomItemType,DefaultWOWarehouse,ScrapPercent,CostHeadingName
DFG-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFGEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFGFF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
DFGFFEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
PFG-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
PFGEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SBG-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SBGEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SBGFF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SBGFFEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFG-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFGEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFGFF-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SFGFFEXC3-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-DFG_Leaf_RH,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-DFG_Leaf_LH,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-DFG_Frame,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-Ped_Leaf,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-Ped_Frame,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-SFG_Leaf,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
ASSY-0000-00-SFG_Frame,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0001,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0002,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0003,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0004,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0005,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0006,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0007,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0008,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0009,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0010,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0011,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0012,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0013,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0014,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0015,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0016,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0017,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0018,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0020,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0021,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0022,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0023,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
SA-FG-0024,0,1,1,FALSE,FALSE,4,1,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,3,HOME,0,Materials
