Stock item code,Stock item name,Product group,Tax code,Stock item description,Manufacturer's name,Manufacturer's part number,Commodity code,Net mass,Stock take days,Allow Sales order,Asset of stock - account number,Asset of stock - cost centre,Asset of stock - department,Revenue - account number,Revenue - cost centre,Revenue - department,Accrued receipts - account number,Accrued receipts - cost centre,Accrued receipts - department,Issues - account number,Issues - cost centre,Issues - department,Supplier,Supplier lead time,Supplier lead time unit,Supplier minimum quantity,Supplier usual order quantity,Supplier part number,Alternative item,Alternative item name,Memo,Barcode,AnalysisName\1,AnalysisValue\1,AnalysisName\2,AnalysisValue\2,AnalysisName\3,AnalysisValue\3,AnalysisName\4,AnalysisValue\4,AnalysisName\5,AnalysisValue\5,AnalysisName\6,AnalysisValue\6,AnalysisName\7,AnalysisValue\7,AnalysisName\8,AnalysisValue\8,AnalysisName\9,AnalysisValue\9,AnalysisName\10,AnalysisValue\10,AnalysisName\11,AnalysisValue\11,AnalysisName\12,AnalysisValue\12,AnalysisName\13,AnalysisValue\13,AnalysisName\14,AnalysisValue\14,AnalysisName\15,AnalysisValue\15,AnalysisName\16,AnalysisValue\16,AnalysisName\17,AnalysisValue\17,AnalysisName\18,AnalysisValue\18,AnalysisName\19,AnalysisValue\19,AnalysisName\20,AnalysisValue\20
DFD-0001,Double Flood Door,FG-FD,1,Double Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,None,Fire Rating,None,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDC5-0001,Double Security Flood Door,FG-FD,1,Double Security Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,C5,Fire Rating,None,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDC5F-0001,Double Security Fire Flood Door,FG-FD,1,Double Security Fire Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,None,Fire Rating,E15,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDDA-0001,Double Dual-Access Flood Door,FG-FD,1,Double Dual-Access Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,None,Fire Rating,None,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDDAC5-0001,Double Dual-Access Security Flood Door,FG-FD,1,Double Dual-Access Security Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,C5,Fire Rating,None,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDDAC5F-0001,Double Dual-Access Security Fire Flood Door,FG-FD,1,Double Dual-Access Security Fire Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,C5,Fire Rating,E15,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDDAF-0001,Double Dual-Access Fire Flood Door,FG-FD,1,Double Dual-Access Fire Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,None,Fire Rating,E15,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDDAS-0001,Double Dual-Access Security  Flood Door (Non-Certified),FG-FD,1,Double Dual-Access Security  Flood Door (Non-Certified),,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,C5,Fire Rating,None,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDF-0001,Double Fire Flood Door,FG-FD,1,Double Fire Flood Door,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,None,Fire Rating,E15,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DFDS-0001,Double Security Flood Door (Non-Certified),FG-FD,1,Double Security Flood Door (Non-Certified),,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,Hinged,Material Composition,Mild Steel,Automation,Manual,Flooding Rating,Standard,Security Rating,C5,Fire Rating,None,Blast Rating,,Pressure Rating,None,Thermal Rating,None,,,,,,,,,,,,,,,,,,
DXF-0000-00-DFD,Double Flood Door DXF Pack,RM-LP,1,Double Flood Door DXF Pack,,,,,30,1,13103,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
DXF-0000-00-DFDC5,Double Flood Door C5 DXF Pack,RM-LP,1,Double Flood Door C5 DXF Pack,,,,,30,1,13103,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Double,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
DXF-0000-00-SFD,Single Flood Door DXF Pack,RM-LP,1,Single Flood Door DXF Pack,,,,,30,1,13103,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Single,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
DXF-0000-00-SFDC5,Single Flood Door C5 DXF Pack,RM-LP,1,Single Flood Door C5 DXF Pack,,,,,30,1,13103,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Door ,Item Set Type,Single,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0002-FP,EE Fixing Plate - 5mm,RM-LP,1,EE Fixing Plate - 5mm,,,,,30,1,13103,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,,Item Set Type,,Product Operation Type,,Material Composition,,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0003-FP,Trip Plate - 4 mm,RM-PP,1,Trip Plate - 4 mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Plate,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0004-FP,Universal Door Closer Bracket - 5 mm,RM-LP,1,Universal Door Closer Bracket - 5 mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,,Item Set Type,,Product Operation Type,,Material Composition,,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0005-FP,P Frame Cap - 3 mm,RM-PP,1,P Frame Cap - 3 mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Cap,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0006-FP,Centre Post Cap - 47x47x5mm,RM-PP,1,Centre Post Cap - 47x47x5mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Cap,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0007-FP,Centre Post Flange - 60x33x6mm,RM-PP,1,Centre Post Flange - 60x33x6mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flange,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0008-MP,Spring Collar - 30(OD)/17x10,RM-PP,1,Spring Collar - 30(OD)/17x10,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Collar,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0009-FP,P Frame Corner Closer - 3 mm,RM-PP,1,P Frame Corner Closer - 3 mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Closer,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0011-FP,Rose for Pull Handle - S/S - 14(OD) x 225mm,RM-PP,1,Rose for Pull Handle - S/S - 14(OD) x 225mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Handle,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0015-FP,Security Door Cylinder Guard Tube,RM-PP,1,Security Door Cylinder Guard Tube,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Tube,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0026-FP,Hinge Shroud C5 - 6 mm,RM-PP,1,Hinge Shroud C5 - 6 mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Shroud,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0027-MP,Dog Bolt,RM-PP,1,Dog Bolt,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Bolt,Item Set Type,,Product Operation Type,,Material Composition,Mild Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
FD-0030-FP,Clamp Lug - 15mm,RM-LP,1,Clamp Lug - 15mm,,,,,30,1,13102,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,,Item Set Type,,Product Operation Type,,Material Composition,,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
