Stock item code,Stock item name,Product group,Tax code,Stock item description,Manufacturer's name,Manufacturer's part number,Commodity code,Net mass,Stock take days,Allow Sales order,Asset of stock - account number,Asset of stock - cost centre,Asset of stock - department,Revenue - account number,Revenue - cost centre,Revenue - department,Accrued receipts - account number,Accrued receipts - cost centre,Accrued receipts - department,Issues - account number,Issues - cost centre,Issues - department,Supplier,Supplier lead time,Supplier lead time unit,Supplier minimum quantity,Supplier usual order quantity,Supplier part number,Alternative item,Alternative item name,Memo,Barcode,AnalysisName\1,AnalysisValue\1,AnalysisName\2,AnalysisValue\2,AnalysisName\3,AnalysisValue\3,AnalysisName\4,AnalysisValue\4,AnalysisName\5,AnalysisValue\5,AnalysisName\6,AnalysisValue\6,AnalysisName\7,AnalysisValue\7,AnalysisName\8,AnalysisValue\8,AnalysisName\9,AnalysisValue\9,AnalysisName\10,AnalysisValue\10,AnalysisName\11,AnalysisValue\11,AnalysisName\12,AnalysisValue\12,AnalysisName\13,AnalysisValue\13,AnalysisName\14,AnalysisValue\14,AnalysisName\15,AnalysisValue\15,AnalysisName\16,AnalysisValue\16,AnalysisName\17,AnalysisValue\17,AnalysisName\18,AnalysisValue\18,AnalysisName\19,AnalysisValue\19,AnalysisName\20,AnalysisValue\20
ASSY-0000-00-01-FGW_Ang_Post,Glazing Angled Post - XXXdeg - XXXXmm,SUB-AS,,Glazing Angled Post - XXXdeg - XXXXmm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
ASSY-0000-00-01-FGW_Cor_Post,Glazing Corner Post - XXXXmm,SUB-AS,,Glazing Corner Post - XXXXmm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
ASSY-0000-00-01-FGW_End_Post,Glazing End Post - XXXXmm,SUB-AS,,Glazing End Post - XXXXmm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
ASSY-0000-00-01-FGW_Mid_Post,Glazing Mid Post - XXXXmm,SUB-AS,,Glazing Mid Post - XXXXmm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
ASSY-0000-00-01-FGW_Panel,Glazing Panel - XXXX x XXXXmm,SUB-AS,,Glazing Panel - XXXX x XXXXmm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
BASE-FGW-0009-FP,Base Seal End Post - 5mm,RM-LP,,Base Seal End Post - 5mm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Seal,Item Set Type,Item,Product Operation Type,,Material Composition,EPDM,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
BASE-FGW-0011-FP,Corner Post Base Seal - 5mm,RM-LP,,Corner Post Base Seal - 5mm,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Seal,Item Set Type,Item,Product Operation Type,,Material Composition,EPDM,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
DXF-0000-00-01-FGW_Angled_Post,Flood Glazing Angled Post DXF Pack,RM-LP,,Flood Glazing Angled Post DXF Pack,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
DXF-0000-00-01-FGW_Corner_Post,Flood Glazing Corner Post DXF Pack,RM-LP,,Flood Glazing Corner Post DXF Pack,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
DXF-0000-00-01-FGW_Mid_Post,Flood Glazing Mid Post DXF Pack,RM-LP,,Flood Glazing Mid Post DXF Pack,,,,,30,1,13101,,,40500,,,23100,,,13100,,,,,,,,,,,,,Product Family,Flood Glazing Wall ,Item Set Type,Sectioned,Product Operation Type,Fixed,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
