Stock item code,Stock item name,Product group,Tax code,Stock item description,Manufacturer's name,Manufacturer's part number,Commodity code,Net mass,Stock take days,Allow Sales order,Asset of stock - account number,Asset of stock - cost centre,Asset of stock - department,Revenue - account number,Revenue - cost centre,Revenue - department,Accrued receipts - account number,Accrued receipts - cost centre,Accrued receipts - department,Issues - account number,Issues - cost centre,Issues - department,Supplier,Supplier lead time,Supplier lead time unit,Supplier minimum quantity,Supplier usual order quantity,Supplier part number,Alternative item,Alternative item name,Memo,Barcode,AnalysisName\1,AnalysisValue\1,AnalysisName\2,AnalysisValue\2,AnalysisName\3,AnalysisValue\3,AnalysisName\4,AnalysisValue\4,AnalysisName\5,AnalysisValue\5,AnalysisName\6,AnalysisValue\6,AnalysisName\7,AnalysisValue\7,AnalysisName\8,AnalysisValue\8,AnalysisName\9,AnalysisValue\9,AnalysisName\10,AnalysisValue\10,AnalysisName\11,AnalysisValue\11,AnalysisName\12,AnalysisValue\12,AnalysisName\13,AnalysisValue\13,AnalysisName\14,AnalysisValue\14,AnalysisName\15,AnalysisValue\15,AnalysisName\16,AnalysisValue\16,AnalysisName\17,AnalysisValue\17,AnalysisName\18,AnalysisValue\18,AnalysisName\19,AnalysisValue\19,AnalysisName\20,AnalysisValue\20
PP-SL-0001,200x50x2.2mm Board w. Seal,RM-EX,1,200x50x2.2mm Board w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0002,200x50x4.0mm Board w. Seal,RM-EX,1,200x50x4.0mm Board w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0003,300x50x2.2mm Board w. Seal,RM-EX,1,300x50x2.2mm Board w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0004,200x100x2.5mm Board w. Seal,RM-EX,1,200x100x2.5mm Board w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0005,50mm End Post w. Seal,RM-EX,1,50mm End Post w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0006,50mm Mid Post w. Seal,RM-EX,1,50mm Mid Post w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0007,100mm End Post w. Seal,RM-EX,1,100mm End Post w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0008,100mm Mid Post w. Seal,RM-EX,1,100mm Mid Post w. Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0009,50mm Board Handle,RM-PP,1,50mm Board Handle,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0010,100mm Board Handle,RM-PP,1,100mm Board Handle,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0011,Clamp w. Shroud,RM-PP,1,Clamp w. Shroud,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0012,50mm Mid Post 1340mm,RM-PP,1,50mm Mid Post 1340mm,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0013,50mm 90ø Corner Post 1340mm,RM-PP,1,50mm 90ø Corner Post 1340mm,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0014,100mm Mid Post 1000mm,RM-EX,1,100mm Mid Post 1000mm,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0015,100mm Mid Post 1500mm,RM-EX,1,100mm Mid Post 1500mm,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
PP-SL-0016,100mm Mid Post Cast-in Socket,RM-PP,1,100mm Mid Post Cast-in Socket,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Stainless Steel,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0001,200x50x2.2mm Board,RM-EX,1,200x50x2.2mm Board,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0002,200x50x4.0mm Board,RM-EX,1,200x50x4.0mm Board,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0003,300x50x2.2mm Board,RM-EX,1,300x50x2.2mm Board,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0004,200x100x2.5mm Board,RM-EX,1,200x100x2.5mm Board,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0005,Board Seal,RM-EX,1,Board Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,EPDM,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0006,50mm Base Seal,RM-EX,1,50mm Base Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,EPDM,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0007,100mm Base Seal,RM-EX,1,100mm Base Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,EPDM,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0008,Vertical Seal,RM-EX,1,Vertical Seal,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,EPDM,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
RAW-SL-0009,50mm End Post,RM-EX,1,50mm End Post,,,,,30,1,13101,,,40900,,,23100,,,13100,,,,,,,,,,,,,Product Family,Stop Log,Item Set Type,,Product Operation Type,,Material Composition,Aluminium,Automation,,Flooding Rating,,Security Rating,,Fire Rating,,Blast Rating,,Pressure Rating,,Thermal Rating,,,,,,,,,,,,,,,,,,,
